State,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,ASP,AT,AU,AV,AW,AX,AY,AZ,AAA,AAB,AAC,AAD,AAE,AAF,AAG,AAH,AAI,AAJ
Andhra Pradesh ,1610.00,1831.00,1933.00,2588.00,3119.00,3413.00,4068.00,4294.00,5223.00,5768.00,6581.00,7758.00,8984.00,10541.00,12459.00,14301.00,16265.00,17745.00,21958.00,22767.00,28119.00,31074.00,34373.00,40120.00,47153.00,48306.00,56648.00,74875.00,80804.00,85075.00,100636.00,115882.00,129441.00,136629.00,111067.00,112049.00
Arunachal Pradesh,,,,,,,251.00,348.00,326.00,392.00,398.00,443.00,503.00,575.00,691.00,803.00,891.00,972.00,1004.00,1098.00,1206.00,1381.00,1363.00,2192.00,2085.00,2437.00,2786.00,3068.00,4273.00,5237.00,5579.00,6665.00,6354.00,7782.00,11483.00,12713.00
Assam,758.00,618.00,691.00,942.00,1165.00,1207.00,1586.00,1794.00,1855.00,2266.00,2689.00,2763.00,3136.00,3620.00,3998.00,4390.00,4267.00,5022.00,5204.00,7086.00,7631.00,8550.00,8936.00,10596.00,14745.00,12088.00,13485.00,15150.00,17486.00,24968.00,25947.00,30269.00,33748.00,37178.00,64980.00,63602.00
Bihar,1791.00,1871.00,1940.00,2144.00,2408.00,2966.00,3360.00,3914.00,4324.00,5219.00,6217.00,6805.00,7743.00,8433.00,8555.00,9417.00,9407.00,10216.00,12171.00,19548.00,16946.00,14869.00,17752.00,19134.00,20055.00,22568.00,27136.00,31573.00,37181.00,42796.00,50705.00,60180.00,69207.00,80405.00,132187.00,120685.00
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,1917.00,5624.00,6822.00,8951.00,9647.00,9725.00,11991.00,15029.00,17714.00,21559.00,23565.00,28721.00,34819.00,39442.00,55979.00,65811.00
Goa,,,,,,,255.00,258.00,284.00,327.00,395.00,466.00,499.00,558.00,601.00,943.00,946.00,1270.00,1458.00,1614.00,1962.00,2353.00,2401.00,2416.00,2541.00,2849.00,3176.00,3559.00,4517.00,5524.00,6229.00,6954.00,7346.00,8150.00,10131.00,13103.00
Gujarat,1442.00,1565.00,1949.00,2178.00,2463.00,2625.00,3323.00,4089.00,4374.00,4844.00,5470.00,6908.00,7987.00,8408.00,9498.00,10811.00,12576.00,14875.00,19172.00,21466.00,27175.00,25651.00,26921.00,32986.00,34900.00,34235.00,39200.00,42681.00,51897.00,60335.00,71607.00,79414.00,98281.00,104721.00,125490.00,137519.00
Haryana,607.00,696.00,917.00,960.00,1120.00,1315.00,1509.00,1663.00,1879.00,2121.00,2397.00,2727.00,2956.00,4109.00,6912.00,6131.00,7831.00,7806.00,8581.00,8359.00,9159.00,10728.00,10582.00,15122.00,14442.00,14830.00,19638.00,22079.00,26368.00,32562.00,34434.00,39751.00,46512.00,48929.00,63772.00,71675.00
Himachal Pradesh,338.00,297.00,353.00,385.00,479.00,588.00,648.00,805.00,985.00,992.00,1118.00,2341.00,1447.00,1691.00,2009.00,2350.00,2633.00,3453.00,4167.00,4714.00,5315.00,5670.00,6616.00,8096.00,8034.00,8587.00,10091.00,10614.00,12492.00,14031.00,16131.00,17329.00,20715.00,21271.00,24895.00,28339.00
Jammu & Kashmir,428.00,548.00,504.00,620.00,747.00,889.00,989.00,1269.00,1404.00,1611.00,2021.00,2286.00,2321.00,2593.00,3339.00,3573.00,4021.00,4893.00,5849.00,7108.00,7829.00,8050.00,8738.00,8817.00,11127.00,13467.00,13873.00,17046.00,18750.00,22519.00,25569.00,29856.00,31778.00,31909.00,42471.00,45920.00
Jharkhand,,,,,,,,,,,,,,,,,,,,,,7934.00,9809.00,9738.00,11635.00,13417.00,15726.00,18360.00,20641.00,22713.00,26502.00,26007.00,30400.00,30064.00,50840.00,55493.00
Karnataka,1302.00,1409.00,1739.00,2002.00,2615.00,2894.00,3069.00,3437.00,3778.00,4401.00,4979.00,6248.00,7100.00,8089.00,8859.00,10406.00,11981.00,12601.00,14886.00,17818.00,19664.00,21938.00,24074.00,29267.00,34246.00,34973.00,44085.00,48031.00,54039.00,62964.00,71934.00,85756.00,96601.00,110649.00,132835.00,140534.00
Kerala,855.00,1086.00,996.00,1322.00,1572.00,1969.00,2162.00,2251.00,2521.00,2889.00,3376.00,4005.00,4363.00,5138.00,5959.00,6922.00,7943.00,9818.00,10611.00,12900.00,13149.00,13132.00,16967.00,19769.00,20276.00,21115.00,23159.00,28692.00,32554.00,35833.00,40765.00,53789.00,62032.00,69370.00,82948.00,99278.00
Madhya Pradesh,1590.00,1677.00,1938.00,2324.00,2522.00,2916.00,3349.00,3932.00,4596.00,4823.00,5899.00,6637.00,7663.00,8878.00,9315.00,10582.00,13093.00,14225.00,15968.00,17957.00,16924.00,16960.00,18989.00,23923.00,29413.00,28975.00,30217.00,35265.00,40030.00,50032.00,60055.00,80659.00,83497.00,89764.00,123390.00,135972.00
Maharashtra,2613.00,3088.00,3585.00,4244.00,5063.00,5732.00,6412.00,6929.00,8102.00,9737.00,10772.00,12052.00,14014.00,15983.00,20026.00,21377.00,25005.00,27675.00,30317.00,38244.00,42208.00,42480.00,47217.00,61034.00,72668.00,68677.00,75841.00,80240.00,99068.00,117431.00,130155.00,148728.00,164202.00,186830.00,227933.00,240026.00
Manipur,159.00,128.00,137.00,158.00,223.00,247.00,299.00,319.00,393.00,423.00,453.00,533.00,824.00,637.00,675.00,811.00,1014.00,1133.00,1116.00,1780.00,1381.00,2117.00,2157.00,2320.00,2600.00,2743.00,3626.00,3720.00,4404.00,4726.00,6115.00,6863.00,6993.00,7173.00,11178.00,9652.00
Meghalaya,102.00,101.00,117.00,139.00,161.00,188.00,230.00,264.00,318.00,351.00,406.00,492.00,543.00,682.00,587.00,779.00,785.00,851.00,1008.00,1195.00,1424.00,1395.00,1589.00,1770.00,2070.00,2008.00,2320.00,2771.00,3433.00,3833.00,4770.00,5945.00,6123.00,6811.00,11893.00,9583.00
